BioSample,LibraryName,Run,BioProject,fq1,fq2,lat,long
Tap_xsSER013_Mus,Tap_xsSER013_Mus,23,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsSER013_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsSER013_R2.fastq.gz,-6.802,-56.498
Tap_xsTM005_Mus,Tap_xsTM005_Mus,24,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTM005_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTM005_R2.fastq.gz,-6.067,-55.317
Bel_xsTP32151_Toe,Bel_xsTP32151_Toe,25,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP32151_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP32151_R2.fastq.gz,-1.562,-47.131
Xin_xsTP36025_Toe,Xin_xsTP36025_Toe,26,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP36025_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP36025_R2.fastq.gz,-4.596,-49.561
Xin_xsTP36276_Toe,Xin_xsTP36276_Toe,27,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP36276_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP36276_R2.fastq.gz,-3.785,-49.782
Bel_xsTP37350_Toe,Bel_xsTP37350_Toe,28,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP37350_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP37350_R2.fastq.gz,-4.712,-46.354
Bel_xsTP38597_Toe,Bel_xsTP38597_Toe,29,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP38597_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP38597_R2.fastq.gz,-2.949,-45.887
Xin_xsTP48649_Toe,Xin_xsTP48649_Toe,30,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP48649_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP48649_R2.fastq.gz,-9.756,-50.537
Bel_xsTP51965_Toe,Bel_xsTP51965_Toe,31,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP51965_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP51965_R2.fastq.gz,-2.835,-47.915
Xin_xsTP81164_Toe,Xin_xsTP81164_Toe,32,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP81164_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsTP81164_R2.fastq.gz,-6.19,-48.191
Xin_xsUHE455_Mus,Xin_xsUHE455_Mus,33,Xiphorhynchus,/scratch/a_monc/postdoc/xipho_project/raw_data/xsUHE455_R1.fastq.gz,/scratch/a_monc/postdoc/xipho_project/raw_data/xsUHE455_R2.fastq.gz,-3.53,-51.733
